Participant ID,Scene,Absolute time,Relative time in session,Happy,Enjoyment,Hope,Pride,Anger,Frustration,Anxiety,Fear,Shame,Hopelessness,Boredom,Surprise,Contempt,Disgust,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Boredom Average,Curiosity Average
MT208PN41004,scene0,10:45:39,0:19:35.090,3,3,4,3,1,2,2,1,2,1,3,1,1,1,1,5,1,1,4,3,,
MT208PN41004,scene1,11:09:55,0:43:51.515,2,2,4,3,3,4,2,1,3,1,4,2,4,1,2,3,1,1,2,3,,
MT208PN41004,scene2,11:27:08,1:01:04.473,3,3,4,3,2,3,1,1,2,1,3,2,3,1,3,4,1,4,3,3,,
MT208PN41004,scene3,11:43:50,1:17:46.229,2,2,3,3,3,4,4,2,2,3,2,2,3,1,3,3,2,1,3,2,,
MT208PN41004,scene4,11:59:32,1:33:27.828,3,4,4,3,3,4,3,2,3,2,2,2,2,1,2,4,2,1,2,3,2.8,3.8
MT208PN41005,scene0,15:04:25,0:24:37.419,2,2,2,3,1,1,4,2,2,2,4,1,1,1,2,2,2,1,5,2,,
MT208PN41005,scene1,15:25:15,0:45:27.003,1,1,1,1,3,3,1,1,1,1,4,1,1,1,1,1,3,1,1,1,,
MT208PN41005,scene2,15:44:03,1:04:15.258,1,1,1,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,,
MT208PN41005,scene3,15:59:28,1:19:39.703,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,5,1,,
MT208PN41005,scene4,16:15:06,1:35:18.208,1,1,1,1,2,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,3.6,1.2
MT208PN41006,scene0,9:54:54,0:19:21.094,3,3,3,2,1,2,1,1,1,1,2,1,3,1,1,2,1,1,4,3,,
MT208PN41006,scene1,10:25:39,0:50:06.397,3,3,3,3,1,1,1,1,1,1,2,1,3,1,1,2,1,1,3,3,,
MT208PN41006,scene2,10:37:44,1:02:10.806,3,3,3,3,1,3,1,1,1,1,3,1,3,1,1,2,1,1,3,3,,
MT208PN41006,scene3,10:54:32,1:18:59.079,3,3,3,3,3,2,1,1,1,1,3,1,3,1,1,3,1,1,3,3,,
MT208PN41006,scene4,11:10:14,1:34:41.412,3,2,3,3,1,3,3,1,1,1,2,1,2,1,1,2,1,1,3,3,2.4,2.2
MT208PN41007,scene0,15:15:37,0:28:33.897,3,5,4,2,1,2,5,2,5,4,2,2,2,1,5,5,1,1,2,3,,
MT208PN41007,scene1,15:38:40,0:51:37.002,5,4,5,2,1,2,5,2,3,2,1,3,1,1,3,4,1,1,3,4,,
MT208PN41007,scene2,16:03:16,1:10:07.978,3,2,1,1,2,4,5,3,5,5,2,1,1,1,4,3,1,2,3,3,,
MT208PN41007,scene3,16:19:00,1:25:34.172,3,3,4,2,1,2,4,1,4,3,1,1,2,1,2,4,1,1,3,4,,
MT208PN41007,scene4,16:35:06,1:41:39.903,3,1,2,1,1,2,5,3,5,5,1,2,1,1,3,3,1,1,3,3,1.4,3.8
MT208PN41008,scene0,13:56:52,0:18:51.504,4,4,4,4,1,1,1,1,1,1,2,2,1,1,1,4,1,1,4,4,,
MT208PN41008,scene1,14:20:10,0:42:09.598,3,4,2,3,3,1,2,1,2,1,1,5,1,1,1,1,1,1,2,5,,
MT208PN41008,scene2,14:38:24,1:00:23.410,4,4,4,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,5,,
MT208PN41008,scene3,14:55:41,1:17:40.510,3,4,4,4,2,4,1,1,1,1,1,2,2,1,1,1,1,1,1,5,,
MT208PN41008,scene4,15:11:38,1:33:38.119,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,3,5,1.2,2.2
MT208PN41009,scene0,9:31:49,0:18:28.459,4,5,4,3,1,2,4,1,2,1,1,3,1,1,2,4,1,3,2,4,,
MT208PN41009,scene1,9:57:33,0:44:12.123,4,4,3,3,1,2,3,2,2,2,1,3,1,1,3,4,2,4,1,4,,
