RawPID;date;StartTime;eventType;logTime;surveyTime;logSecs;surveySecs;logEventNum;surveyEventNum;experGroup;eventDurMillis;eventDurTime;Q18-emotionLabel1;Q19-emotionLabel2;Q1-enjoying myself;Q2-hopeful;Q3-proud;Q4-frustrated;Q5-anxious;Q6-ashamed;Q7-hopeless;Q8-bored;Q9-surprised;Q10-contempt;Q11-confused;Q12-curious;Q13-sad;Q14-eureka;Q15-neutral;Q16-task is valuable;Q17-can do well on this task;Full-date-time
MT430PN56102;06/03/2014;10:18:03;EIVStart;10:25:43;10:25:43;37543;37543;1;1;hyper3;145570;00:02:25;Neutral;Neutral;4;4;4;1;1;1;1;2;1;5;1;5;1;1;5;5;5;03/06/2014 10:25
MT430PN56102;06/03/2014;10:18:03;EIVDuring;10:33:33;10:33:34;38013;38014;2;2;hyper3;58059;00:00:58;Neutral;Neutral;3;4;4;1;1;1;1;2;1;5;1;5;1;1;5;5;5;03/06/2014 10:33
MT430PN56102;06/03/2014;10:18:03;EIVDuring;11:32:14;11:32:14;41534;41534;3;3;hyper3;71190;00:01:11;Boredom;Neutral;3;3;3;2;1;1;1;3;1;4;1;5;1;1;5;5;5;03/06/2014 11:32
MT430PN56102;06/03/2014;10:18:03;EIVDuring;11:50:07;11:50:07;42607;42607;4;4;hyper3;47245;00:00:47;Curiosity;Neutral;3;4;4;2;1;1;1;2;1;5;1;5;1;1;5;5;5;03/06/2014 11:50
MT430PN56102;06/03/2014;10:18:03;EIVDuring;12:06:50;12:06:48;43610;43608;5;5;hyper3;49520;00:00:49;Boredom;Neutral;3;4;4;2;1;1;1;3;1;5;1;5;1;1;5;5;5;03/06/2014 12:06
MT430PN56102;06/03/2014;10:18:03;EIVEnd;12:39:07;12:39:07;45547;45547;6;6;hyper3;51949;00:00:51;Neutral;Neutral;4;4;4;1;1;1;1;2;1;5;1;5;1;1;5;5;5;03/06/2014 12:39
MT430PN56104;28/03/2014;13:26:04;EIVStart;13:31:33;13:31:33;48693;48693;1;1;control2;83083;00:01:23;Contempt;Neutral;1;2;1;1;2;1;1;2;1;3;1;4;1;1;5;1;3;3/28/2014 13:31:00
MT430PN56104;28/03/2014;13:26:04;EIVDuring;13:37:54;13:37:55;49074;49075;2;2;control2;66869;00:01:06;Neutral;Neutral;1;1;1;3;2;2;1;3;1;2;1;3;1;1;3;1;3;3/28/2014 13:37:00
MT430PN56104;28/03/2014;13:26:04;EIVDuring;14:01:06;14:01:07;50466;50467;3;3;control2;54395;00:00:54;Boredom;Anger;1;1;1;4;4;1;1;5;1;1;2;1;1;1;2;1;1;3/28/2014 14:01:00
MT430PN56104;28/03/2014;13:26:04;EIVDuring;14:16:22;14:16:22;51382;51382;4;4;control2;40521;00:00:40;Frustration;Anger;1;1;1;5;5;1;3;5;1;1;3;1;1;1;1;1;1;3/28/2014 14:16:00
MT430PN56104;28/03/2014;13:26:04;EIVDuring;14:32:26;14:32:26;52346;52346;5;5;control2;39668;00:00:39;Boredom;Surprise;1;1;1;4;3;1;2;5;4;1;3;1;1;1;1;1;1;3/28/2014 14:32:00
MT430PN56104;28/03/2014;13:26:04;EIVDuring;14:48:09;14:48:09;53289;53289;6;6;control2;42582;00:00:42;Surprise;Surprise;1;1;1;5;5;1;1;5;5;1;1;1;1;1;2;1;1;3/28/2014 14:48:00
MT430PN56104;28/03/2014;13:26:04;EIVDuring;15:03:38;15:03:39;54218;54219;7;7;control2;54389;00:00:54;Boredom;Neutral;1;1;1;4;4;1;1;5;1;1;3;2;1;1;1;1;1;3/28/2014 15:03:00
MT430PN56104;28/03/2014;13:26:04;EIVEnd;15:22:30;15:22:31;55350;55351;8;8;control2;36307;00:00:36;Boredom;Anger;1;1;1;3;1;2;2;5;1;1;1;1;1;1;1;1;1;3/28/2014 15:22:00
