ID, Group, Gender, Age, Ethnicity, Education, GPA, #Courses, Session duration, Reading duration, #Subgoals validated, #Subgoals attempted, Worked without subgoal, #Note Taking, #Note Checking, #Summaries added to notes, Note Taking Duration, Note Checking Duration, #PLAN, #SUMM, #MPTG, #PKA, #JOL, #FOK, #CE, #INF, #DEPENDS, Mean # of SRL processes per relevant page while on SG1, Mean # of SRL processes per relevant page to SG0 at anytime in the session (NB: some processes can end up being counted multiple times), Mean # of SRL processes per relevant page to SG1 at anytime in the session (NB: some processes can end up being counted multiple times), DurationDay2InSecs, TimeSpentWithContentOverall, TimePageRelSG, TimePageIrrelSG, TotalTimeWithRelTextContent, TotalTimeWithRelFullContent, TotalTimeWithIrrelTextContent, TotalTimeWithIrrelFullContent, NumberSG, TotalTimeSettingSG, TimePaperNotes, TimeINF, RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active, RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active, RatioPagesRelevantToInitialSubgoal1ReadAtAnytime, RatioPagesRelevantToInitialSubgoal2ReadAtAnytime, ImagesOpened_num, 
MT208PN41005,1,1,21,1,4,3.5,5,4246,2737,5,6,1,0,0,0,0,0,10,0,6,0,1,0,0,0,0,0.05,0.333333333,0.45,4982,0.78631993,0.637050178,0.088399082,0.557524904,0.057560429,0.000605329,0.012312701,6,0.000259312,0.001016174,0,0.777777778,0.15,1,0.7,9, 
MT208PN41006,2,1,18,2,1,2.06,1,4523,2919,0,1,0,0,0,1,0,0,2,3,0,2,1,3,0,0,0, ?,2,1.75,4692,0.873381387,0.568993964,0.088394524,0.335038503,0.210009923,0.065085043,0.023309481,2,0.0001824,0.00136182,0,0.2,0,0.2,0.285714286,4, 
MT208PN41007,1,1,18,2,1,3.2,1,4513,2838,0,1,0,14,4,0,1402,164,2,0,0,0,0,0,0,0,0, ?,0.631578947,0.647058824,5330,0.766434382,0.45687999,0.226020974,0.385470754,0.071409236,0,0.032836591,2,0.00024087,0,0,0.65,0,0.9,0.894736842,5, 
MT208PN41008,2,1,22,4,4,3,5,4513,2858,3,3,1,0,0,1,0,0,5,1,4,7,5,0,0,0,0,1,0.733333333,1.555555556,4599,0.890328949,0.403744011,0.321626014,0.403744011,0,0,0,3,0.000182635,0,0,1,0.222222222,1,1,0, 
MT208PN41009,2,2,21,2,3,?,0,4785,3114,0,2,0,0,1,2,0,188,2,2,3,3,2,0,0,0,0, ?,0.875,0.6,5031,0.837840889,0.285362542,0.326671312,0.285362542,0,0,0.005223745,2,0.000141515,0,0,0.636363636,0,0.727272727,0.714285714,1, 
MT208PN41010,1,1,19,2,1,3.08,0,4900,4034,1,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0.142857143,0.055555556,4731,0.961368214,0.594771203,0.174387916,0.469771652,0.124999551,0,0.044146929,2,0.000121953,0.003302449,0,0.642857143,0.5,0.928571429,0.8,12, 
MT208PN41011,2,2,20,2,2,2,0,4475,2743,0,2,0,3,0,2,334,0,2,2,3,5,2,0,0,0,0,0.857142857,0.7,0.666666667,4562,0.880914979,0.595441543,0.139236164,0.371494213,0.22394733,0,0.056395059,2,0.000152989,0.035802921,0,0.5,0.466666667,0.714285714,0.6,18, 
MT208PN41012,1,1,21,3,2,3.5,0,4349,3369,0,1,0,2,1,0,723,1,2,0,0,0,1,5,1,0,0, ?,0.909090909,0.5,4349,0.923184903,0.521762913,0.306667396,0.420926629,0.087076026,0.011504629,0.235994232,2,0.000125083,0,0,0.4,0,0.55,0.363636364,4, 
MT208PN41013,2,1,19,2,2,3,2,4604,2757,0,1,0,8,1,1,1131,76,2,2,0,5,0,0,1,0,1, ?,2,4,4963,0.838708988,0.208559019,0.378265352,0.100879894,0.083942465,0.10955392,0.146402056,2,0.000154336,0,0,0.555555556,0,0.555555556,0.2,10, 
MT208PN41015,1,1,21,2,4,2.9,0,4258,3214,0,1,0,0,0,0,0,0,2,0,1,0,1,3,2,0,0, ?,0.333333333,0.4,4654,0.897728279,0.275242685,0.55842447,0.132950165,0.081342363,0.000355809,0.342913467,2,0.000119033,0.027434693,0,0.777777778,0,0.888888889,0.684210526,23, 
