,key,Session duration,Reading duration,#Subgoals validated,#Subgoals attempted,Worked without subgoal,#Subgoals changes,#Note Taking,#Summaries added to notes,Note Taking Duration,Note Checking Duration,#SUMM,#TN,#MPTG,#PKA,#JOL,#FOK,Mean # of SRL processes per relevant page to SG0 at anytime in the session (NB: some processes can end up being counted multiple times),Mean # of SRL processes per relevant page to SG1 at anytime in the session (NB: some processes can end up being counted multiple times),TimeSpentWithContentOverall,TimePageRelSG,TimePageIrrelSG,TotalTimeWithRelFullContent,TotalTimeWithIrrelFullContent,NumberSG,TimeINF,RatioPagesRelevantToInitialSubgoal1ReadWhenSubgoal1Active,RatioPagesRelevantToInitialSubgoal2ReadWhenSubgoal2Active,RatioPagesRelevantToInitialSubgoal1ReadAtAnytime,RatioPagesRelevantToInitialSubgoal2ReadAtAnytime,ImagesOpened_num,TimePageRelSG_mod,TimePageIrrelSG_mod,TotalTimeWithRelTextContent_mod,TotalTimeWithRelFullContent_mod,TotalTimeWithIrrelFullContent_mod,TotalTimeSettingSG_mod,TimeFullView_total_mod,Enjoyment,Contempt,Confusion,Curiosity,Sadness,Eureka,Neutral,Task Value,Hope,Pride,Frustration,Anxiety,Shame,Hopelessness,Boredom,Surprise
0,"('MT430PN56111', 5)",6800.0,5759.0,0.3333333432674408,3.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,7.0,1.0,6.0,2.0,2.0,1.0,0.6111111044883728,0.7647058963775635,0.13421712815761566,0.0678066834807396,0.05620774254202843,0.023117922246456146,0.016394877806305885,2.0,0.0,0.0,0.0,0.24074073135852814,0.3137255012989044,40.0,0.5052013993263245,0.41878217458724976,0.3329586982727051,0.17224271595478058,0.12215190380811691,0.00012211887224111706,0.0004327195056248456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,"('MT430PN56111', 2)",6800.0,5759.0,0.3333333432674408,3.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,7.0,1.0,6.0,2.0,2.0,1.0,0.6111111044883728,0.7647058963775635,0.13421712815761566,0.0678066834807396,0.05620774254202843,0.023117922246456146,0.016394877806305885,2.0,0.0,0.0,0.0,0.24074073135852814,0.3137255012989044,40.0,0.5052013993263245,0.41878217458724976,0.3329586982727051,0.17224271595478058,0.12215190380811691,0.00012211887224111706,0.0004327195056248456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,"('MT430PN56111', 3)",6800.0,5759.0,0.3333333432674408,3.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,7.0,1.0,6.0,2.0,2.0,1.0,0.6111111044883728,0.7647058963775635,0.13421712815761566,0.0678066834807396,0.05620774254202843,0.023117922246456146,0.016394877806305885,2.0,0.0,0.0,0.0,0.24074073135852814,0.3137255012989044,40.0,0.5052013993263245,0.41878217458724976,0.3329586982727051,0.17224271595478058,0.12215190380811691,0.00012211887224111706,0.0004327195056248456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,"('MT430PN56111', 1)",6800.0,5759.0,0.3333333432674408,3.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,7.0,1.0,6.0,2.0,2.0,1.0,0.6111111044883728,0.7647058963775635,0.13421712815761566,0.0678066834807396,0.05620774254202843,0.023117922246456146,0.016394877806305885,2.0,0.0,0.0,0.0,0.24074073135852814,0.3137255012989044,40.0,0.5052013993263245,0.41878217458724976,0.3329586982727051,0.17224271595478058,0.12215190380811691,0.00012211887224111706,0.0004327195056248456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,"('MT430PN56111', 4)",6800.0,5759.0,0.3333333432674408,3.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,7.0,1.0,6.0,2.0,2.0,1.0,0.6111111044883728,0.7647058963775635,0.13421712815761566,0.0678066834807396,0.05620774254202843,0.023117922246456146,0.016394877806305885,2.0,0.0,0.0,0.0,0.24074073135852814,0.3137255012989044,40.0,0.5052013993263245,0.41878217458724976,0.3329586982727051,0.17224271595478058,0.12215190380811691,0.00012211887224111706,0.0004327195056248456,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"('MT430PN56113', 3)",8258.0,6305.0,0.25,4.0,1.0,1.5,8.0,15.0,334.0,137.0,16.0,9.0,3.0,3.0,4.0,2.0,0.8333333134651184,1.545454502105713,0.1356385052204132,0.0763557031750679,0.03488630801439285,0.048412591218948364,0.008988535962998867,3.0,0.0010584756964817643,0.0,0.0,0.25,0.25,37.0,0.5629352927207947,0.2572006285190582,0.20601163804531097,0.3569236695766449,0.06626831740140915,0.00010985101107507944,0.0872482880949974,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"('MT430PN56113', 2)",8258.0,6305.0,0.25,4.0,1.0,1.5,8.0,15.0,334.0,137.0,16.0,9.0,3.0,3.0,4.0,2.0,0.8333333134651184,1.545454502105713,0.1356385052204132,0.0763557031750679,0.03488630801439285,0.048412591218948364,0.008988535962998867,3.0,0.0010584756964817643,0.0,0.0,0.25,0.25,37.0,0.5629352927207947,0.2572006285190582,0.20601163804531097,0.3569236695766449,0.06626831740140915,0.00010985101107507944,0.0872482880949974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"('MT430PN56113', 5)",8258.0,6305.0,0.25,4.0,1.0,1.5,8.0,15.0,334.0,137.0,16.0,9.0,3.0,3.0,4.0,2.0,0.8333333134651184,1.545454502105713,0.1356385052204132,0.0763557031750679,0.03488630801439285,0.048412591218948364,0.008988535962998867,3.0,0.0010584756964817643,0.0,0.0,0.25,0.25,37.0,0.5629352927207947,0.2572006285190582,0.20601163804531097,0.3569236695766449,0.06626831740140915,0.00010985101107507944,0.0872482880949974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"('MT430PN56113', 4)",8258.0,6305.0,0.25,4.0,1.0,1.5,8.0,15.0,334.0,137.0,16.0,9.0,3.0,3.0,4.0,2.0,0.8333333134651184,1.545454502105713,0.1356385052204132,0.0763557031750679,0.03488630801439285,0.048412591218948364,0.008988535962998867,3.0,0.0010584756964817643,0.0,0.0,0.25,0.25,37.0,0.5629352927207947,0.2572006285190582,0.20601163804531097,0.3569236695766449,0.06626831740140915,0.00010985101107507944,0.0872482880949974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"('MT430PN56113', 1)",8258.0,6305.0,0.25,4.0,1.0,1.5,8.0,15.0,334.0,137.0,16.0,9.0,3.0,3.0,4.0,2.0,0.8333333134651184,1.545454502105713,0.1356385052204132,0.0763557031750679,0.03488630801439285,0.048412591218948364,0.008988535962998867,3.0,0.0010584756964817643,0.0,0.0,0.25,0.25,37.0,0.5629352927207947,0.2572006285190582,0.20601163804531097,0.3569236695766449,0.06626831740140915,0.00010985101107507944,0.0872482880949974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,"('MT430PN56121', 5)",6004.0,5412.0,1.1666666269302368,6.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.7058823704719543,0.2083333283662796,0.12035848945379257,0.04116896167397499,0.07611799240112305,0.0004848852113354951,0.01050478219985962,6.0,0.0,0.0882352963089943,0.0347222201526165,0.1568627506494522,0.1597222238779068,11.0,0.3420528173446655,0.6324272751808167,0.3380241394042969,0.004028674680739641,0.08727911114692688,0.0001011823769658804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"('MT430PN56121', 2)",6004.0,5412.0,1.1666666269302368,6.0,1.0,1.3333333730697632,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.7058823704719543,0.2083333283662796,0.12035848945379257,0.04116896167397499,0.07611799240112305,0.0004848852113354951,0.01050478219985962,6.0,0.0,0.0882352963089943,0.0347222201526165,0.1568627506494522,0.1597222238779068,11.0,0.3420528173446655,0.6324272751808167,0.3380241394042969,0.004028674680739641,0.08727911114692688,0.0001011823769658804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
