,id,Tobii Fixations,New Fixations,Mean Position Difference,StdDev Position Difference,Max Position Difference,Mean Duration Difference,StdDev Duration Difference,Max Duration Difference,Match Score
0,MT208PN41043,11981,12636,22.452000325644175,100.1756503450041,2758.3341752820866,150.14221272554605,359.52756664969206,7778,0.6936530547641658
1,MT208PN41016,12212,13202,190.9100513470849,845.9933865238077,9833.472852884737,164.1713376761097,539.7352982018078,10943,0.6142251174064536
2,MT208PN41053,16595,4822,62.3860714016988,143.15896360192926,1702.1152281793381,473.53048527581916,1067.2849443472207,9477,0.2322687681459975
3,MT208PN41089,12053,13845,263.40426823050905,1001.9063568863812,9822.81100939394,197.84528710725894,553.4607201027371,16639,0.49801372336583605
4,MT208PN41011,13755,15603,503.46718527052775,2237.1247579121396,19992.706620418674,193.47721592001537,455.5876885270985,11443,0.520476831378581
5,MT208PN41077,11262,3277,40.33794995577699,162.3309828823112,1616.1924275211268,189.45956667683856,508.59472991358814,5313,0.652731156545621
6,MT208PN41083,8596,5447,537.0877860394794,1302.4846157472869,9503.705375310441,126.42151643106297,282.9114968245064,2864,0.27923627684964203
7,MT208PN41055,7255,7989,475.56906377520863,1779.1501442618298,14347.058267575552,174.2146701714858,302.92855090291704,3231,0.3830266616597822
8,MT208PN41059,14252,16281,104.61475412702518,338.35714944209815,3116.6514621858673,104.4387322646029,350.70365841338713,4480,0.6608316442478963
9,MT208PN41076,15372,17805,38.543696481792004,213.95351286170336,4089.1582545694723,167.07441729851166,372.8691763291693,6079,0.6590845268183094
10,MT208PN41009,18114,18073,33.30264596518424,124.18272404065469,1741.5063030755027,182.64510595916562,334.52343837164364,4597,0.5665357162618271
11,MT208PN41060,17765,6945,85.88787617082508,280.96046754776023,3311.0166931549516,199.21324694024477,371.8661973191538,6546,0.35550755939524836
12,MT208PN41040,13741,14664,41.14031210855223,230.91696445310046,3767.621233445469,142.54228041462085,436.3969362770124,6095,0.7332242225859247
13,MT208PN41037,12468,12022,36.700528559119505,114.53106416446778,1505.9614868913482,281.60905007486275,860.9619975251201,29014,0.41390783563466976
14,MT208PN41027,12172,13281,70.62522458640636,324.0470966471791,4518.426598192766,111.15902416986673,328.7516556477002,6162,0.7205029741736315
15,MT208PN41013,10377,10589,45.082733903165106,187.31015886617183,3171.4553441598387,150.85692699971668,480.8132636367639,6463,0.6986495419775238
16,MT208PN41024,11923,12109,104.97885120337769,420.8799703923683,5414.546013245689,142.06813114212568,315.6997202818853,9027,0.5624741927491949
17,MT208PN41042,18118,9104,44.26061204635472,127.53130330461128,1825.9622456719203,344.19035588752195,645.1601256866853,9960,0.32458260105448156
18,MT208PN41092,12410,10063,144.1175965458677,536.8291282345648,7428.950705590345,234.76050879459405,475.79674992063445,5464,0.3532743714598032
19,MT208PN41088,13683,13788,51.374665570313866,164.77064213515231,1999.8544153238597,223.23759791122714,566.1688874713111,14823,0.5077603713373948
20,MT208PN41038,13776,14910,18.14038325859538,74.94482501899017,1656.019323558756,124.90912139503689,287.6748793479889,5246,0.7357478202548625
21,MT208PN41041,14290,16491,123.18845201846199,643.93676913148,7474.4953809241,222.5589109211085,715.0005918257708,8911,0.6173670486932266
22,MT208PN41054,13246,13813,53.99066457342635,282.18470605981673,4822.209365465839,155.86961557952654,386.46215717315476,8327,0.6160138999493231
23,MT208PN41061,15904,15982,58.46801247473357,346.596122172825,5837.716906927991,139.2389563258666,325.6432793566849,6529,0.6580528094105869
24,MT208PN41048,8931,16435,18800.706452196395,32961.15083296711,135754.8884422112,93.1635533921509,276.8240921528632,5813,0.27715241861880135
25,MT208PN41006,11102,11625,92.25208715059318,309.73540673002753,3129.538435932038,193.12963440860216,480.2178729227911,7145,0.5603440860215054
26,MT208PN41049,16144,16948,27.83749490733435,146.30242323938336,2956.3265147093643,123.44506726457399,329.71196170003077,10294,0.712178428133113
27,MT208PN41005,14920,13183,56.923552690962076,201.8461831210524,3107.6353148334506,200.57589319578244,410.9196179293652,7344,0.45573845103542443
28,MT208PN41030,12724,12788,81.47895515862447,282.41180156589695,3988.081910408685,169.00344072568032,405.57323819069717,6879,0.5750703784798248
29,MT208PN41045,15157,15809,48.42966664765481,184.87041280234882,3005.8595949179967,195.73989499652097,481.3513827496598,6429,0.5746726548168765
30,MT208PN41010,12435,14745,136.60109336248323,506.1028856687647,6010.043258982026,231.69331976941336,419.50469019155105,6862,0.4271278399457443
31,MT208PN41020,13930,14112,32.32642994047392,126.88820323219588,2774.0316309070636,167.87606292517006,449.1558429395574,6347,0.6721938775510204
32,MT208PN41029,9794,11306,442.6319454980206,1483.995840910553,11906.692596542835,142.50725278613126,387.10969454619215,6030,0.519193348664426
33,MT208PN41007,7267,6793,27.97086176843164,124.72527626884536,1525.9735438344512,96.55174444280877,215.4561561610834,3264,0.7727071985867805
34,MT208PN41058,11672,12710,48.2860466005194,200.10591956137677,2514.4996890505554,140.74059795436665,349.4002488418573,6179,0.6804091266719119
35,MT208PN41075,10573,11186,118.11735764712967,436.088233291943,4319.767328025656,146.29983908457,527.2815754937302,14739,0.6382978723404256
36,MT208PN41091,17917,18601,1644.2559501517935,7096.496021541616,50146.40096937644,127.45540562335358,273.1075241734879,4647,0.5989462932100424
37,MT208PN41032,11380,13469,137.8022725759842,542.7879117019615,7252.552413037327,193.44613557056945,364.0217754592304,4814,0.49981438859603533
38,MT208PN41085,14462,13060,37.71951036328843,121.58237257865748,1618.293833591684,173.60574272588056,351.52971953866904,4846,0.5303215926493109
39,MT208PN41039,13361,13534,30.57301103233929,101.33320128223897,2147.072658295476,208.09598049357174,384.10267290266194,5213,0.5307374020984188
40,MT208PN41023,12157,13975,69.9555531875044,276.7624463806958,3372.1941163433303,172.0402146690519,408.92757789635044,15123,0.5237924865831842
41,MT208PN41064,10625,9884,62.97952532066779,239.78398662640632,3206.520398437974,183.80433023067584,310.01211572365014,3564,0.4586199919061109
42,MT208PN41082,9383,9945,345.3558980912171,1165.1984624924867,10187.156429887542,155.05439919557566,479.037896141497,10110,0.493614881850176
43,MT208PN41036,11964,11902,40.58830066539063,140.45925904954547,2045.575808793705,126.8686775331877,264.70066157935173,5896,0.5741051924046379
44,MT208PN41087,11364,12097,22.37914185703898,95.46457674485988,1504.0111081453815,176.86079193188394,596.3212445197535,14558,0.7187732495660081
45,MT208PN41081,12470,13071,22.155737851010286,73.65686768012543,1278.3509885786455,160.90184377629868,347.7680030846967,6512,0.6338459184454135
